country_code,code,label_fr
FR,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
FR,0112Z,Culture du riz
FR,0113Z,"Culture de légumes, de melons, de racines et de tubercules"
FR,0114Z,Culture de la canne à sucre
FR,0115Z,Culture du tabac
FR,0116Z,Culture de plantes à fibres
FR,0119Z,Autres cultures non permanentes
FR,0121Z,Culture de la vigne
FR,0122Z,Culture de fruits tropicaux et subtropicaux
FR,0123Z,Culture d'agrumes
FR,0124Z,Culture de fruits à pépins et à noyau
FR,0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
FR,0126Z,Culture de fruits oléagineux
FR,0127Z,Culture de plantes à boissons
FR,0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
FR,0129Z,Autres cultures permanentes
FR,0130Z,Reproduction de plantes
FR,0141Z,Élevage de vaches laitières
FR,0142Z,Élevage d'autres bovins et de buffles
FR,0143Z,Élevage de chevaux et d'autres équidés
FR,0144Z,Élevage de chameaux et d'autres camélidés
FR,0145Z,Élevage d'ovins et de caprins
FR,0146Z,Élevage de porcins
FR,0147Z,Élevage de volailles
FR,0149Z,Élevage d'autres animaux
FR,0150Z,Culture et élevage associés
FR,0161Z,Activités de soutien aux cultures
FR,0162Z,Activités de soutien à la production animale
FR,0163Z,Traitement primaire des récoltes
FR,0164Z,Traitement des semences
FR,0170Z,"Chasse, piégeage et services annexes"
FR,0210Z,Sylviculture et autres activités forestières
FR,0220Z,Exploitation forestière
FR,0230Z,Récolte de produits forestiers non ligneux poussant à l'état sauvage
FR,0240Z,Services de soutien à l'exploitation forestière
FR,0311Z,Pêche en mer
FR,0312Z,Pêche en eau douce
FR,0321Z,Aquaculture en mer
FR,0322Z,Aquaculture en eau douce
FR,0510Z,Extraction de houille
FR,0520Z,Extraction de lignite
FR,0610Z,Extraction de pétrole brut
FR,0620Z,Extraction de gaz naturel
FR,0710Z,Extraction de minerais de fer
FR,0721Z,Extraction de minerais d'uranium et de thorium
FR,0729Z,Extraction d'autres minerais de métaux non ferreux
FR,0811Z,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise"
FR,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin"
FR,0891Z,Extraction des minéraux chimiques et d'engrais minéraux
FR,0892Z,Extraction de tourbe
FR,0893Z,Production de sel
FR,0899Z,Autres activités extractives n.c.a.
FR,0910Z,Activités de soutien à l'extraction d'hydrocarbures
FR,0990Z,Activités de soutien aux autres industries extractives
FR,1011Z,Transformation et conservation de la viande de boucherie
FR,1012Z,Transformation et conservation de la viande de volaille
FR,1013A,Préparation industrielle de produits à base de viande
FR,1013B,Charcuterie
FR,1020Z,"Transformation et conservation de poisson, de crustacés et de mollusques"
FR,1031Z,Transformation et conservation de pommes de terre
FR,1032Z,Préparation de jus de fruits et légumes
FR,1039A,Autre transformation et conservation de légumes
FR,1039B,Transformation et conservation de fruits
FR,1041A,Fabrication d'huiles et graisses brutes
